"row_col.row" "row_col.col" "ar" "hdi_95_lower" "hdi_95_upper"
"1" 1 2 0.0914771001201255 0.0871490501021982 0.0956088192184361
"2" 1 3 0.141645155187311 0.13703483147811 0.146367433915864
"3" 2 3 0.150693497357301 0.14556174161908 0.155632895328887
"4" 1 4 0.11545001650981 0.110782690807879 0.119712447097241
"5" 2 4 0.213278913521762 0.207062920273636 0.219081163700672
"6" 3 4 0.170689486625423 0.165435484939766 0.175305215575377
"7" 1 5 0.208722128447055 0.203168740839177 0.214314150944697
"8" 2 5 0.186784474883201 0.181280766776529 0.192157612783121
"9" 3 5 0.178847597016499 0.17376097200654 0.183630702642151
"10" 4 5 0.153808181560336 0.149120215929878 0.158654241441829
"11" 1 6 0.14267251497306 0.137974805824358 0.147710254410505
"12" 2 6 0.137022349023952 0.132066395647938 0.141801844234085
"13" 3 6 0.393067316396544 0.386799443481328 0.399623379205149
"14" 4 6 0.175889679850805 0.170672484868866 0.180810779603405
"15" 5 6 0.163194797783022 0.158184254268705 0.168053984904316
"16" 1 7 0.0340736405095829 0.0312877175251344 0.0368604225778944
"17" 2 7 0.0770956786512867 0.07278087080954 0.0809720758268497
"18" 3 7 0.0970665147573653 0.0928560372044222 0.101181524271196
"19" 4 7 0.0808949989046202 0.0766750502439988 0.0847991142365764
"20" 5 7 0.0533589835318375 0.0501543454748399 0.0565998838491163
"21" 6 7 0.251419310698513 0.245467586420367 0.257754393946332
"22" 1 8 0.574895882408447 0.568885902554642 0.581441274179535
"23" 2 8 0.100178244505617 0.0960116653668285 0.104605716532531
"24" 3 8 0.181251875527001 0.175976625822698 0.186383484656165
"25" 4 8 0.19115117932401 0.185779215433576 0.19638749734124
"26" 5 8 0.196191513160471 0.190881933313212 0.201355933171412
"27" 6 8 0.163307107449357 0.158385677342901 0.168389690027976
"28" 7 8 0.0684428667050139 0.0645896657922302 0.0723108836364157
"29" 1 9 0.179802765236491 0.174633805328057 0.185443510309916
"30" 2 9 0.146014479948456 0.14066044681364 0.150731600523448
"31" 3 9 0.182237595481583 0.177185164267875 0.186920612854021
"32" 4 9 0.527683591352412 0.520745787821764 0.534308274817637
"33" 5 9 0.18535942276698 0.180407933455013 0.19047908716482
"34" 6 9 0.164125054341682 0.159191369639686 0.168926818225832
"35" 7 9 0.0894504035723555 0.0850005373107727 0.0936617295012067
"36" 8 9 0.217980634829351 0.211964215079075 0.22357961235772
"37" 1 10 0.124498465912621 0.119846729146706 0.1288436264608
"38" 2 10 0.198115749788378 0.192023330733657 0.203638728012301
"39" 3 10 0.214042683366897 0.208875727941401 0.219685432923261
"40" 4 10 0.37996030292225 0.373706943658579 0.3865308793824
"41" 5 10 0.153733316278256 0.148985933880414 0.158117113243973
"42" 6 10 0.162559034807543 0.15737856197192 0.167315433632263
"43" 7 10 0.134609113416839 0.129582177732853 0.139921895541588
"44" 8 10 0.234082049201532 0.228145202039499 0.239760599318143
"45" 9 10 0.370199793750976 0.363367225849843 0.376594007722057
"46" 1 11 0.19073635608909 0.185107805186256 0.19605179221758
"47" 2 11 0.49446136427325 0.487980967752524 0.501073467575274
"48" 3 11 0.175679472395141 0.170672484868866 0.180542215504477
"49" 4 11 0.19961509266867 0.193970420450886 0.205048689531674
"50" 5 11 0.214812012147998 0.209211433065061 0.220155420096385
"51" 6 11 0.155965135068579 0.150933023597644 0.160668472183791
"52" 7 11 0.0887699401128417 0.0846648321871124 0.0931917423280825
"53" 8 11 0.25071182681468 0.244661894123583 0.256881560624815
"54" 9 11 0.217995474284547 0.212031356103807 0.223713894407184
"55" 10 11 0.232530762854811 0.22653381744593 0.238417778823502
